   MainThread:14:46:05.239 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:05.239 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:46:05.724 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:06.678 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:06.895 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:06.909 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:06.909 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:46:06.909 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:46:06.909 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:07.020 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:07.261 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:07.261 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:46:07.377 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:07.858 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:07.858 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:07.858 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:07.967 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:07.967 scanner.py                                109 DEBUG    | Received 5C:12:64:76:86:3C: .
   MainThread:14:46:08.677 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:46:08.677 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:08.677 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:46:08.793 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:08.911 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:09.267 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:09.378 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:46:09.378 scanner.py                                109 DEBUG    | Received 4A:52:25:5B:75:87: .
   MainThread:14:46:09.620 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
